Kelompok 6,Menurut anda seorang Programmer harus menguasai minimal 3 bahasa pemrograman,Apakah anda pernah mengunakan bahasa python,Bahasa pemrograman python lebih mudah untuk digunakan daripada bahasa pemrograman yang lain,"Menurut anda,apakah Bahasa pemrograman python memiliki readability yang user-friendly daripada bahasa pemrograman java?",Seorang programmer boleh menggenalkan bug yang ada di dalam software yang nantinya programmer mendapat keuntungan dalam membetulkan bug,Programmer tidak boleh mencuri Software khususnya development tools,Software yang dibuat secara tim dapat diperjual belikan tanpa memberitahukan kepada tim sebelumnya,Menurut anda apakah software bajakan baik untuk digunakan?,Apakah anda pernah mengikuti program sertifikasi untuk software programmer,Apakah anda setuju jika seorang Software programmer jika memiliki lebih dari satu sertifikasi maka mendapatkan gaji yang lebih besar,Total
Sangat Setuju,90,0,36,48,35,123,32,33,0,111,508
Setuju,241,0,193,210,200,230,75,69,0,226,1444
Ragu-ragu,81,0,173,166,138,81,77,101,0,100,917
Tidak Setuju,47,0,68,58,84,46,197,206,0,47,753
Sangat Tidak Setuju,43,0,32,20,45,22,121,93,0,18,394
Sangat Sering,0,12,0,0,0,0,0,0,7,0,19
Sering,0,35,0,0,0,0,0,0,33,0,68
Jarang,0,57,0,0,0,0,0,0,48,0,105
Sekali,0,52,0,0,0,0,0,0,41,0,93
Tidak Pernah,0,346,0,0,0,0,0,0,373,0,719
,502,502,502,502,502,502,502,502,502,502,5020